Summary,Issue key,Issue id,Issue Type,Status,Project lead,Project url,Priority,Resolution,Updated,Component/s,Description
Sourcetree repository tab width automatically adjusted with repository name is bad with short names,SRCTREEWIN-14221,1949800,Bug,Short Term Backlog,rgomis,https://www.sourcetreeapp.com,Low,Not a bug,29-05-2023 14:06,General,SourceTree 3.4.13 [31 May 2023Change: Sourcetree repository tab width should automatically adjust with repository nameIf the project name is short
Stashes don't show untracked files when clicking on them,SRCTREEWIN-14215,1946072,Bug,Short Term Backlog,rgomis,https://www.sourcetreeapp.com,Low,Not a bug,30-05-2023 04:21,Stash,"I could swear that in the past if I created a stash and had it include untracked files, when I clicked on the stash and it displayed the files modified it would also display untracked files."
Beyond compare not starting,SRCTREEWIN-14211,1945187,Bug,Gathering Impact,rgomis,https://www.sourcetreeapp.com,High,Not a bug,29-05-2023 06:48,General,Beyond compare is not starting as an external diff tool.Tool path already checked and fine.!image-2023-05-23-09-26-19-169.png! 
Displaying all changes between hash1 and hash2 doesn't work,SRCTREEWIN-14210,1945171,Bug,Closed,rgomis,https://www.sourcetreeapp.com,Low,Not a bug,30-05-2023 10:04,Git,"When I'm selecting multiple nodes the file status view is saying ""Displaying all changes between hash1 and hash2"" and I select a file in the resulting file set I don't get the combined file diff as I am expecting in the diff view, I get the changes in one of the nodes."
Displaying all changes between hash1 and hash2 doesn't work,SRCTREEWIN-14209,1945161,Bug,Closed,rgomis,https://www.sourcetreeapp.com,Low,Duplicate,30-05-2023 09:56,Git,"When I'm selecting multiple nodes the file status view is saying ""Displaying all changes between hash1 and hash2"" and I select a file in the resulting file set I don't get the combined file diff as I am expecting in the diff view, I get the changes in one of the nodes."
Patch created from SourceTree (Actions/Create Patch) is in wrong order,SRCTREEWIN-14208,1945080,Bug,Gathering Impact,rgomis,https://www.sourcetreeapp.com,Medium,Not a bug,30-05-2023 12:58,General,"I selected my range of commits with shift + click, then the patch is created successfully, but i have a surprise when applying it. When i open the patch in editor, i can see that the first commit appears second, and also other commits are in wrong order. In my case, the first commit created a file and second commit edited the file created, so applying it in wrong order lead to a conflict (modification vs ""deletion"", since the file does not exist).Since i dont want to solve those conflicts manually, and i don't want to edit manually the wrong ordered commits, i had to find a workaround to sourcetree ""Create patch"". Here is my workaround, using git bash :  {code:java}git format-patch 86d1e2a32f2d284c9f232082948452ed61b41351^..HEAD --output myPatch.patch(and then to apply : git am myPatch.patch){code}  "
Allow external diff on a rename with changes,SRCTREEWIN-14207,1944111,Bug,Needs Triage,swaroop,https://www.sourcetreeapp.com,Low,Not a bug,12-05-2023 17:21,UX,"I don't know if this would be considered a bug (as I do) or a feature request, but when a file is both renamed and changed between commits, the ability to request an external diff is not available.  Since there are differences in the file content, it should be. !image-2023-05-12-13-17-50-071.png!(Shows changes on the right to the selected renamed item and that external diff is not available)"
Submodule with long path doesn't open,SRCTREEWIN-14206,1943978,Bug,Needs Triage,rgomis,https://www.sourcetreeapp.com,Medium,Not a bug,12-05-2023 16:58,Git,"Could you please check, if submodule has long path it doesn't open in Source Tree. It works when I use other git clients "
Wrong installation size reported in Control Panel?,SRCTREEWIN-14201,1943796,Bug,Gathering Impact,rgomis,https://www.sourcetreeapp.com,Low,Not a bug,12-05-2023 05:16,General,"The installation size reported in the Control Panel Programs & Features item for user (not Enterprise) Sourcetree seems to be wrong; too low.I installed Sourcetree 3.4.12 just now from SourceTreeSetup-3.4.12.exe. In the Control Panel, it's reported as having an installation size of 24.2 MB. But my `%LOCALAPPDATA%\SourceTree` directory is bigger. * AppData\Local\SourceTree - 78.7 MB / 79.3 MB on disk * AppData\Local\SourceTree\packages - 24.2 MB * AppData\Local\SourceTree\app-3.4.12 - 52.4 MBLooks like it's only reporting the size of the ""packages"" directory? That doesn't seem right. Maybe it should report the app directory or their combined size instead?FWIW, Sourcetree Enterprise reports an installation size of 51 MB, which matches its size in %programfiles(x86)% and is about the size of that ""app"" directory in the user installation above. (I don't see any ""packages"" directory for Sourcetree Enterprise. Maybe that's a nupkg thing, and the MSI works differently?) !image-2023-05-12-10-01-12-427.png|width=594,height=394! !image-2023-05-12-10-01-12-474.png|width=1459,height=61!!image-2023-05-12-10-01-12-508.png|width=1100,height=55!BTW, the user installer is named ""SourceTreeSetup"" and creates an AppData subdirectories named ""SourceTree"" and ""SourceTree*"". Isn't it normally styled ""Sourcetree"" with a lower-case ""t""?"
No Start Menu shortcut created by Sourcetree Enterprise installation,SRCTREEWIN-14200,1943795,Bug,Short Term Backlog,rgomis,https://www.sourcetreeapp.com,Low,Not a bug,12-05-2023 05:44,General,"While installing the regular user Sourcetree using the .exe installer creates a ""Sourcetree"" Start Menu item/shortcut for me, the Sourcetree Enterprise MSI installer does not appear to do so. It would be nice if it did so, in the All Users Start Menu, like most Windows applications do.Happened just now with Sourcetree Enterprise 3.4.11 and 3.4.12 on Windows 10 Enterprise Multi-Session for me, but I've been noticing this for a couple years with older Sourcetree versions and various Windows versions (10 Pro, Server 2019, Server 2022 I think); we've been using Sourcetree Enterprise at work since Jan 2020, and I recall it happening the whole time. I've dealt with it by manually creating All Users Start Menu shortcuts for it on all the machines I install it on, but that's a hassle.I'm creating this as a separate ticket from https://jira.atlassian.com/browse/SRCTREEWIN-8376 and https://jira.atlassian.com/browse/SRCTREEWIN-13057, because this seems to be specifically about the Enterprise version, and I'd like it to be able to handle All Users Start Menu shortcuts in a regular installation workflow."
